StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,C2,C3_First Click,C3_Last Click,C3_Page Submit,C3_Click Count,D1_1,W2T_First Click,W2T_Last Click,W2T_Page Submit,W2T_Click Count,W2_1,W2_2,W2_3,W2_4,W2_5,W2_6,W2_7,W2_8,W2_9,W2_10,W2_11,W2_12,W2_13,W2_14,W2_15,W2_16,W2_17,W2_18,W2_19,W2_20,W3T_First Click,W3T_Last Click,W3T_Page Submit,W3T_Click Count,W3_1,W3_2,W3_3,W3_4,W3_5,W3_6,W3_7,W3_8,W3_9,W3_10,W3_11,W3_12,W3_13,W3_14,W3_15,W3_16,W3_17,W3_18,W3_19,W3_20,W4T_First Click,W4T_Last Click,W4T_Page Submit,W4T_Click Count,W4_1,W4_2,W4_3,W4_4,W4_5,W4_6,W4_7,W4_8,W4_9,W4_10,W4_11,W4_12,W4_13,W4_14,W4_15,W4_16,W4_17,W4_18,W4_19,W4_20,W5T_First Click,W5T_Last Click,W5T_Page Submit,W5T_Click Count,W5_1,W5_2,W5_3,W5_4,W5_5,W5_6,W5_7,W5_8,W5_9,W5_10,W5_11,W5_12,W5_13,W5_14,W5_15,W5_16,W5_17,W5_18,W5_19,W5_20,W6T_First Click,W6T_Last Click,W6T_Page Submit,W6T_Click Count,W6_1,W6_2,W6_3,W6_4,W6_5,W6_6,W6_7,W6_8,W6_9,W6_10,W6_11,W6_12,W6_13,W6_14,W6_15,W6_16,W6_17,W6_18,W6_19,W6_20,P1,P2,P2_5_TEXT,P3,P4,D2,D3_1,D4_1,D5,D5_2_TEXT,D6,D6_11_TEXT,D7,D7_17_TEXT,D8,D9,D9_6_TEXT,D10,C7,MTurkCode
2/22/17 20:38,2/22/17 20:48,IP Address,99.194.94.240,100,577,TRUE,2/22/17 20:48,R_2rjT2iABbMbaDDp,,,,,31.85809326,-81.58540344,anonymous,I understand and agree to proceed,,,,,1984,0,0,99.056,0,sucks,trump,Obama,obnoxious,liars,cheaters,stealers,federal,money,rich,old,powerful,illuminati,conspiracy,aliens,Roswell,fbi,CIA,democracy,communism,1.942,1.942,86.629,1,integrity,honor,courage,leader,best,freedom,free,value,bravery,one,champions,cheeseburgers,family,tradition,culture,fashion,faith,humanity,humility,expensive,0,0,100.925,0,clinton,liberal,media,donkey,blue,immigrants,gays,abortions,feminism,losers,tolerant,caring,humble,poor,younger,millenials,freedom,honor,trailer,females,0,0,112.593,0,elephant,red,bush,silent,majority,winners,racist,bigots,church,white,hateful,rich,intolerant,stuffy,old,careless,educated,prosperous,wealthy,crazy,0,0,74.12,0,poor,cheap,housing,projects,government,black,immigrants,drugs,murder,gangs,jobless,violence,lazy,hustlers,kids,homeless,uneducated,ghetto,gangster,crappy,5. Slightly conservative,Republican,,4,4,Male,Georgia,Tennessee,English,,Protestant,,Some college but no degree,,No,"White,Asian",,One parent born in the U.S.,"Yes, I agree",17
2/22/17 20:36,2/22/17 20:49,IP Address,173.89.119.162,100,786,TRUE,2/22/17 20:49,R_3F2HagbEIRuOcue,,,,,41.55749512,-83.15100098,anonymous,I understand and agree to proceed,,,,,1976,5.719,44.683,122.435,9,overreaching,infringement,power,ethics,laws,control,executive,legislative,judicial,too big,,,,,,,,,,,3.021,66.294,124.016,2,core ,principals,loving,caring,2nd amendment,rights,helpful ,elections,,,,,,,,,,,,,3.304,111.987,123.841,10,loser,leftist,lawmaker,liberal,party,congress ,legislator,senate ,,,,,,,,,,,,,3.339,99.05,123.135,9,winners,right ,conservative,traditional,conventional,congress,senate,lawmaker,control,leaders,president,attacked,,,,,,,,,3.021,141.029,146.056,8,Social ,assistance,health,happiness,concern,support,,,,,,,,,,,,,,,6. Conservative,Republican,,3,7. Government should let each person get ahead on their own,Male,Ohio,Ohio,English,,Agnostic,,Associate degree in college - Occupational/vocational program,,No,White,,Both parents born in the U.S.,"Yes, I agree",55
2/22/17 20:37,2/22/17 20:50,IP Address,14.51.172.114,100,779,TRUE,2/22/17 20:50,R_33xy5ayGAcoTchw,,,,,36.63720703,127.4896851,anonymous,I understand and agree to proceed,,,,,1996,2.445,89.516,122.646,11,president,judges,house of representatives,judicial,executive,legislative,vice president,white house,supreme court,democrat,republican,independent,trump,votes,the people,America,news,protests,,,1.573,112.032,122.608,5,freedom,free speech,safety,family,religion,traditions,holidays,guns,,,,,,,,,,,,,1.869,74.932,125.549,5,donkey,bernie,obama,prochoice,politically correct,feminists,triggered,protests,hillary,news,,,,,,,,,,,1.901,118.615,126.885,7,elephant,conservative,guns,trump,sarah palin,wall,prolife,religious,,,,,,,,,,,,,2.065,121.397,127.576,8,helping,food stamps,poverty,homeless,shelters,food,salvation army,donations,food drives,groceries,families,starving,cold,unemployed,injured,,,,,,3. Slightly liberal,Independent,,6,2,Female,Illinois,Ohio,English,,Spiritual but not religious,,"Bachelor's degree (For example: BA, AB, BS)",,No,White,,Both parents born in the U.S.,"Yes, I agree",22
2/22/17 20:37,2/22/17 20:50,IP Address,100.0.54.157,100,811,TRUE,2/22/17 20:50,R_3G32o4Ma5NJ8GJu,,,,,42.58790588,-71.34980011,anonymous,I understand and agree to proceed,,,,,1981,2.136,126.727,130.134,2,democracy,democrat,republican,state,agency,federal,secrets,issue,powers,constitution,people,oversight,army,war,politics,party,patriot,national,land,domain,1.787,1.787,123.13,1,freedom,independence,hard work,strength,faith,family,diversity,destiny,patriotism,leadership,compassion,history,tradition,children,future,,,,,,1.893,1.893,122.909,1,working class,poverty,losers,liberal,bleeding heart,socialist,communist,party,politics,grassroots,unions,welfare,new deal,entitlements,medicare,,,,,,1.683,83.79,123.082,5,upper class,capitalist,free market,religious,conservative,politics,party,wealth,taxes,economy,deregulation,white,male,Reagan,military,strength,christian,,,,2.101,95.789,123.884,2,social,program,entitlement,handout,safety net,food stamps,poverty,unemployment,poor,minorities,moral,necessary,wealth redistribution,,,,,,,,2. Liberal,Independent,,5,3,Male,Massachusetts,Massachusetts,English,,Agnostic,,"Professional School Degree (For example: MD, DDS, DVM, LLB, JD)",,No,White,,Both parents born in the U.S.,"Yes, I agree",90
2/22/17 20:36,2/22/17 20:51,IP Address,66.91.209.94,100,905,TRUE,2/22/17 20:51,R_30voeJ0nzmDUrUv,,,,,21.2749939,-157.8164978,anonymous,I understand and agree to proceed,,,,,1980,3.042,3.042,194.195,1,party,democrat,republican,vote,laws,policy,red tape,frustrating,,,,,,,,,,,,,1.489,105.24,138.588,2,strong,patriotic,valued,complete,powerful,idealistic,,,,,,,,,,,,,,,1.327,103.198,140.708,2,patriotic,strong,right,blue,smart,powerful,correct,,,,,,,,,,,,,,1.778,1.778,132.352,1,stiff,boring,inflexible,wrong,red,,,,,,,,,,,,,,,,1.761,101.998,194.886,2,money,support,income,food,families,need,,,,,,,,,,,,,,,1. Extremely liberal,Democrat,,6,2,Female,Hawaii,Connecticut,English,,Agnostic,,"Bachelor's degree (For example: BA, AB, BS)",,No,"White,Asian",,Both parents born in the U.S.,"Yes, I agree",26
2/22/17 20:40,2/22/17 20:53,IP Address,172.56.7.204,100,722,TRUE,2/22/17 20:53,R_3ERsfnXfsnRuoSh,,,,,32.93580627,-96.78530121,anonymous,I understand and agree to proceed,,,,,1995,3.086,46.607,47.75,9,Wasteful,Inefficient ,,,,,,,,,,,,,,,,,,,3.566,138.702,139.202,6,Homophobic,Closed-minded,Christian,Religious,Control,organized religion,hate,hypocrisy ,,,,,,,,,,,,,3.068,119.96,121.518,11,Liberal,donkey,blue,generous,social programs,healthcare,socialist,minorities ,Hillary Clinton,Obama,,,,,,,,,,,2.782,151.907,152.879,14,Christian,Male,White,Racism,Tea Party,Donald Trump,Rich,Less Taxes,,,,,,,,,,,,,3.062,125.211,126.324,3,Need,Families,Food,Starvation,Jobs,,,,,,,,,,,,,,,,2. Liberal,Democrat,,6,1. Government should see to jobs and standard of living,Female,Texas,Texas,English,,Agnostic,,Some college but no degree,,No,Black or African American,,Both parents born in the U.S.,"Yes, I agree",43
2/22/17 20:49,2/22/17 21:02,IP Address,73.45.77.198,100,726,TRUE,2/22/17 21:02,R_3nN2wJMzoLtcxAg,,,,,41.584198,-87.49559784,anonymous,I understand and agree to proceed,,,,,1990,2.529,2.529,234.154,1,man,office,congress,law,citizen,policy,politician,state,govern,president,country,,,,,,,,,,1.93,63.44,130.701,3,honesty,family,leadership,pride,patriotism,,,,,,,,,,,,,,,,3.069,3.069,143.034,1,good,smart,caring,honest,intelligent,courageous,ethical,morals,helpful,cunning,optimism,hope,,,,,,,,,1.523,24.683,24.946,2,bad,evil,corrupt,moron,unethical,greedy,selfish,white,racist,hatred ,,,,,,,,,,,1.464,1.748,121.867,2,health,food,poor,black,white,mexican,free,lazy,hungry,children,ghetto,urban,,,,,,,,,2. Liberal,Democrat,,6,2,Male,Indiana,Indiana,English,,Catholic,,High school graduate - high school diploma or equivalent (for example: GED),,Yes,White,,Both parents born in the U.S.,"Yes, I agree",53
2/22/17 20:58,2/22/17 21:04,IP Address,50.133.223.73,100,406,TRUE,2/22/17 21:04,R_295rsf0EOtiDtie,,,,,42.38000488,-71.13289642,anonymous,I understand and agree to proceed,,,,,1971,2.277,58.381,68.187,3,institution,democratic,autocratic,plutocratic,monarchic,aristocrat,parliamentarian,congress,senate,politician,bureaucracy,red tape,policy,agenda,bills,law,proposals,debate,filibuster,vote,1.859,20.219,51.983,2,conservatism,apple pie,liberty,autonomy,democracy,freedom,guns,,,,,,,,,,,,,,2.036,2.036,65.705,1,patriot,liberty,freedom,democracy,deliberate,rational,inquiry,curiosity,liberal,open-minded,spirited,,,,,,,,,,1.593,45.91,48.034,2,conservative,elephant,white,old,prejudiced,biased,rich,moneyed,greedy,selfish,religious,complacent,,,,,,,,,1.587,1.587,46.52,1,poverty,needy,poor,penniless,destitute,out of luck,unfortunate,sad,strapped,hard-working,,,,,,,,,,,1. Extremely liberal,Democrat,,7. Government should provide many more services,1. Government should see to jobs and standard of living,Male,Massachusetts,Maine,English,,Agnostic,,"Doctorate degree (For example: PhD, EdD)",,No,White,,Both parents born in the U.S.,"Yes, I agree",38
2/22/17 20:52,2/22/17 21:06,IP Address,96.42.113.206,100,832,TRUE,2/22/17 21:06,R_bIZ8jVYBuwVmH3b,,,,,45.5809021,-94.20809937,anonymous,I understand and agree to proceed,,,,,1987,2.204,2.204,126.391,1,people,control,group,society,regulation,order,large,overpowering,powerful,,,,,,,,,,,,2.679,78.09,197.278,2,values,morals,patriotism,patriotic ,country,proud,people,connected,common,,,,,,,,,,,,2.918,2.918,137.984,1,side,democracy,team,politics,political,lean,country,choice,liberal,left,,,,,,,,,,,1.907,2.785,128.83,3,right,team,politics,conservative,political,patriotic,people,side,compete,right-wing,red,,,,,,,,,,15.852,16.195,138.256,2,help,program,people,poverty,poor,low-class,benefit,caring,helpful,needy,,,,,,,,,,,2. Liberal,Democrat,,7. Government should provide many more services,1. Government should see to jobs and standard of living,Female,Minnesota,California,English,,Atheist,,Some college but no degree,,No,White,,Both parents born in the U.S.,"Yes, I agree",85
2/22/17 20:55,2/22/17 21:07,IP Address,208.54.5.221,100,713,TRUE,2/22/17 21:07,R_1l5VXE2DJd2bhy4,,,,,34.05439758,-118.2440033,anonymous,I understand and agree to proceed,,,,,1969,2.457,70.548,94.468,3,liars,waste,corruption,theft,roads,nature,education,health,fair,infrastructure,libraries,schools,clinics,taxes,politics,debate,secretive,spying,safety,defense,1.79,69.225,103.043,3,patriotism,pie,baseball,religion,god,money,greed,stuff,mansions,cars,nature,travel,cooking,bbq,beer,hotdogs,fast-food,honesty,church,education,2.662,86.76,122.987,3,liars,blockers,health,education,schools,roads,infrastructure,npr,art,fda,epa,climate change,environment,clinics,shelters,public works,science,help,dnc,clinton,2.92,86.757,132.921,4,corrupt,liars,waste,blocking,distrust,fake,cheats,dishonest,christian,religious,rich,greedy,biased,uncaring,media whore,divisive,hateful,racist,evil,untrustworthy,3.295,74.727,107.317,3,necessary,help,poor,treatment,healthcare,shelter,food,schools,assistance ,clothing,social security,lazy,black,weak,drugs,single moms,dead-beat dads,unemployment,no work,careless,2. Liberal,Democrat,,7. Government should provide many more services,3,Male,Utah,Utah,English,,Agnostic,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",,No,White,,Both parents born in the U.S.,"Yes, I agree",28
